indivisible tag,text_child,image_child,href_child,date_time_child
"<img src=""https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_UX45_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Star Wars: Episode IV - A New Hope"">,<a href=""/title/tt0076759/"" title=""George Lucas (dir.), Mark Hamill, Harrison Ford"">Star Wars: Episode IV - A New Hope</a>,<span class=""secondaryInfo"">(1977)</span>","[None, 'Star Wars: Episode IV - A New Hope', '(1977)']","https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_UX45_CR0,0,45,67_AL_.jpg,,",",/title/tt0076759/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Terminator 2: Judgment Day"">,<a href=""/title/tt0103064/"" title=""James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"">Terminator 2: Judgment Day</a>,<span class=""secondaryInfo"">(1991)</span>","[None, 'Terminator 2: Judgment Day', '(1991)']","https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0103064/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX45_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Back to the Future"">,<a href=""/title/tt0088763/"" title=""Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"">Back to the Future</a>,<span class=""secondaryInfo"">(1985)</span>","[None, 'Back to the Future', '(1985)']","https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX45_CR0,0,45,67_AL_.jpg,,",",/title/tt0088763/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Spirited Away"">,<a href=""/title/tt0245429/"" title=""Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"">Spirited Away</a>,<span class=""secondaryInfo"">(2001)</span>","[None, 'Spirited Away', '(2001)']","https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0245429/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR2,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""The Pianist"">,<a href=""/title/tt0253474/"" title=""Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"">The Pianist</a>,<span class=""secondaryInfo"">(2002)</span>","[None, 'The Pianist', '(2002)']","https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR2,0,45,67_AL_.jpg,,",",/title/tt0253474/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Psycho"">,<a href=""/title/tt0054215/"" title=""Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"">Psycho</a>,<span class=""secondaryInfo"">(1960)</span>","[None, 'Psycho', '(1960)']","https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0054215/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Parasite"">,<a href=""/title/tt6751668/"" title=""Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"">Parasite</a>,<span class=""secondaryInfo"">(2019)</span>","[None, 'Parasite', '(2019)']","https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt6751668/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BNGQ4MjMzMGQtZDJmYS00NjEyLWI1M2MtMzFiYThlNzE4NDkzXkEyXkFqcGdeQXVyNjAyNzIzMDE@._V1_UY67_CR1,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Léon: The Professional"">,<a href=""/title/tt0110413/"" title=""Luc Besson (dir.), Jean Reno, Gary Oldman"">Léon: The Professional</a>,<span class=""secondaryInfo"">(1994)</span>","[None, 'Léon: The Professional', '(1994)']","https://m.media-amazon.com/images/M/MV5BNGQ4MjMzMGQtZDJmYS00NjEyLWI1M2MtMzFiYThlNzE4NDkzXkEyXkFqcGdeQXVyNjAyNzIzMDE@._V1_UY67_CR1,0,45,67_AL_.jpg,,",",/title/tt0110413/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Gladiator"">,<a href=""/title/tt0172495/"" title=""Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"">Gladiator</a>,<span class=""secondaryInfo"">(2000)</span>","[None, 'Gladiator', '(2000)']","https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0172495/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""The Lion King"">,<a href=""/title/tt0110357/"" title=""Roger Allers (dir.), Matthew Broderick, Jeremy Irons"">The Lion King</a>,<span class=""secondaryInfo"">(1994)</span>","[None, 'The Lion King', '(1994)']","https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0110357/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BZTJhN2FkYWEtMGI0My00YWM4LWI2MjAtM2UwNjY4MTI2ZTQyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""American History X"">,<a href=""/title/tt0120586/"" title=""Tony Kaye (dir.), Edward Norton, Edward Furlong"">American History X</a>,<span class=""secondaryInfo"">(1998)</span>","[None, 'American History X', '(1998)']","https://m.media-amazon.com/images/M/MV5BZTJhN2FkYWEtMGI0My00YWM4LWI2MjAtM2UwNjY4MTI2ZTQyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0120586/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""The Departed"">,<a href=""/title/tt0407887/"" title=""Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"">The Departed</a>,<span class=""secondaryInfo"">(2006)</span>","[None, 'The Departed', '(2006)']","https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0407887/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Whiplash"">,<a href=""/title/tt2582802/"" title=""Damien Chazelle (dir.), Miles Teller, J.K. Simmons"">Whiplash</a>,<span class=""secondaryInfo"">(2014)</span>","[None, 'Whiplash', '(2014)']","https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt2582802/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""The Prestige"">,<a href=""/title/tt0482571/"" title=""Christopher Nolan (dir.), Christian Bale, Hugh Jackman"">The Prestige</a>,<span class=""secondaryInfo"">(2006)</span>","[None, 'The Prestige', '(2006)']","https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0482571/,",",,"
