,text child,image child,href child,date_time child,indv_tag,url
0,"[None, 'Latest News']","['https://www.thehindu.com/theme/images/th-online/thehindu-logo.svg', 'https://www.thehindu.com/theme/images/th-online/1x1_spacer.png', '']","['', 'https://www.thehindu.com/']",[''],"['<img src=""https://www.thehindu.com/theme/images/th-online/thehindu-logo.svg"" class=""img-fluid mobile-logo"" alt=""Return to frontpage"">', '<img class=""lazy"" data-src-template=""https://www.thehindu.com/theme/images/th-online/h-circle-black-white-new.svg"" alt=""The Hindu Logo"" src=""https://www.thehindu.com/theme/images/th-online/1x1_spacer.png"">', '<img class=""lazy"" src=""https://www.thehindu.com/theme/images/th-online/1x1_spacer.png"" data-src-template=""https://www.thehindu.com/theme/images/th-online/thehindu-logo.svg"" alt=""Return to frontpage"">', '<img class=""lazy img-fluid mobile-logo"" src=""https://www.thehindu.com/theme/images/th-online/1x1_spacer.png"" data-src-template=""https://www.thehindu.com/theme/images/th-online/thehindu-logo.svg"" alt=""Return to frontpage"">', '<a href=""https://www.thehindu.com/"">\nLatest News\n</a>']",https://www.thehindu.com/
1,"['India', 'National News']",[''],['https://www.thehindu.com/news/national/'],[''],"['<a class=""nav-link "" href=""https://www.thehindu.com/news/national/"">\nIndia\n</a>', '<a href=""https://www.thehindu.com/news/national/"">India\n</a>', '<a href=""https://www.thehindu.com/news/national/"">\nNational News\n</a>']",https://www.thehindu.com/news/national/
2,"['India', 'National News']",[''],['https://www.thehindu.com/news/national/'],[''],"['<a class=""nav-link "" href=""https://www.thehindu.com/news/national/"">\nIndia\n</a>', '<a href=""https://www.thehindu.com/news/national/"">India\n</a>', '<a href=""https://www.thehindu.com/news/national/"">\nNational News\n</a>']",https://www.thehindu.com/news/national/
3,"['World', 'International News']",[''],['https://www.thehindu.com/news/international/'],[''],"['<a class=""nav-link "" href=""https://www.thehindu.com/news/international/"">\nWorld\n</a>', '<a href=""https://www.thehindu.com/news/international/"">World\n</a>', '<a href=""https://www.thehindu.com/news/international/"">\nInternational News\n</a>']",https://www.thehindu.com/news/international/
4,"['World', 'International News']",[''],['https://www.thehindu.com/news/international/'],[''],"['<a class=""nav-link "" href=""https://www.thehindu.com/news/international/"">\nWorld\n</a>', '<a href=""https://www.thehindu.com/news/international/"">World\n</a>', '<a href=""https://www.thehindu.com/news/international/"">\nInternational News\n</a>']",https://www.thehindu.com/news/international/
5,['Opinion'],[''],['https://www.thehindu.com/opinion/'],[''],"['<a class=""nav-link "" href=""https://www.thehindu.com/opinion/"">\nOpinion\n</a>', '<a href=""https://www.thehindu.com/opinion/"">\nOpinion\n</a>']",https://www.thehindu.com/opinion/
6,['Opinion'],[''],['https://www.thehindu.com/opinion/'],[''],"['<a class=""nav-link "" href=""https://www.thehindu.com/opinion/"">\nOpinion\n</a>', '<a href=""https://www.thehindu.com/opinion/"">\nOpinion\n</a>']",https://www.thehindu.com/opinion/
7,"['Sports', 'Sport']",[''],['https://www.thehindu.com/sport/'],[''],"['<a class=""nav-link "" href=""https://www.thehindu.com/sport/"">\nSports\n</a>', '<a href=""https://www.thehindu.com/sport/"">\nSport\n</a>']",https://www.thehindu.com/sport/
8,"['Sports', 'Sport']",[''],['https://www.thehindu.com/sport/'],[''],"['<a class=""nav-link "" href=""https://www.thehindu.com/sport/"">\nSports\n</a>', '<a href=""https://www.thehindu.com/sport/"">\nSport\n</a>']",https://www.thehindu.com/sport/
9,['Data'],[''],['https://www.thehindu.com/data/'],[''],"['<a href=""https://www.thehindu.com/data/"" class=""secondary_menu_topic_1"">\nData\n</a>', '<a href=""https://www.thehindu.com/data/"">\nData\n</a>', '<a href=""https://www.thehindu.com/data/"">Data\n</a>']",https://www.thehindu.com/data/
